fips,mean
01001,29497.492369186046
01003,55860.29476939477
01005,18541.74831087627
01007,5542.900795307565
01009,33453.72288929333
01011,15555.8134039016
01013,10259.438507897514
01015,25363.607259114582
01017,13812.159520348838
01019,70253.18142030298
01021,18026.788584183672
01023,3219.2629163124984
01025,5954.866431858229
01027,15671.807641892206
01029,10308.251234005658
01031,69787.65594692888
01033,95239.51612389606
01035,16002.635493837553
01037,7343.645139126067
01039,47148.122440222534
01041,20528.605503627234
01043,42061.7337839227
01045,59913.45122767857
01047,35627.61599892064
01049,65095.30096970943
01051,35850.303297776445
01053,66383.0840551404
01055,41070.07485351562
01057,11270.365903893296
01059,29244.079441236412
01061,156012.2734375
01063,16801.95654296875
01065,23898.574797227648
01067,102186.85851469493
01069,152832.71932164635
01071,63157.39940991814
01073,7847.334920726103
01075,8809.647383527057
01077,129567.87568259725
01079,126623.71287567762
01081,14759.781499565972
01083,201576.33488175675
01085,28055.496350097656
01087,27022.078432829483
01089,163629.30406901042
01091,23833.314883809693
01093,14328.977398907697
01095,49398.00414496528
01097,29800.245139701896
01099,44342.038590714736
01101,33222.522148757685
01103,65380.334748641304
01105,22935.322878630264
01107,15040.117043887867
01109,28782.910129123266
01111,18692.469493230183
01113,9721.508675130208
01115,22476.215958305027
01117,18129.26905517578
01119,15460.7317796394
01121,41589.63526306152
01123,7005.960320789523
01125,11437.366237263102
01127,14466.656989921958
01129,5955.019074671977
01131,7253.884794347427
01133,17630.66548956008
02013,3.050082438146706
02016,2.511003437468811
02020,175.48570693046383
02050,5.331948987754786
02060,24.260867547255614
02068,3.199367227887043
02070,7.458872773067525
02090,87.41708870685372
02100,1.0548589656104146
02105,0.012076518669019223
02110,0.38812882437795293
02122,9.213043081364864
02130,0.12138495136808708
02150,11.125378433350537
02158,5.593688042172917
02164,10.515291332782725
02170,49.614635424332896
02180,4.711138169858816
02185,3.288836269965716
02188,2.5243969907934876
02195,0.0990452320964002
02198,0.022845233103584633
02220,7.238054496298054e-4
02230,1.3789852923203805
02240,181.8251241563879
02261,2.963730758383301
02275,0.19551528074633098
02282,2.2959916398095372
02290,4.107292937799496
04001,756.2035160954039
04003,13379.874298189674
04005,151.13845641082935
04007,1109.1566729745578
04009,16250.296922159176
04011,1833.2150703174548
04012,23918.683286700994
04013,24771.731891094027
04015,1196.8701293363372
04017,2246.224556978754
04019,6764.000229773071
04021,78181.28095765217
04023,4634.432242645615
04025,1347.3158802227433
04027,27485.273682080122
05001,390886.01925533765
05003,148035.05079609074
05005,18437.30517578125
05007,43439.92041015625
05009,52645.57041015625
05011,5978.43873605274
05013,1326.949666665948
05015,44526.499764944645
05017,353932.3291223404
05019,7395.246757382252
05021,455871.94089673914
05023,20694.837176067074
05025,6316.0832099047575
05027,6243.262636439005
05029,49854.764347956734
05031,423494.86734068627
05033,27124.97966733186
05035,491915.95561079547
05037,523407.91805555555
05039,1483.5765978892643
05041,403694.5699757543
05043,87834.37076241629
05045,29187.76819131541
05047,29519.06756175648
05049,42005.52407340116
05051,7470.158588236029
05053,7654.684928244733
05055,396215.84455128206
05057,25642.80130570023
05059,10850.701036536175
05061,33776.654760880905
05063,89466.1362890625
05065,30627.981144496374
05067,307166.7010569853
05069,269001.87347501866
05071,15428.648358271672
05073,55075.34270597759
05075,286599.944276148
05077,497445.8087993421
05079,273392.30412776297
05081,45498.8193716654
05083,29011.08251476288
05085,343371.81559244794
05087,30746.849062601726
05089,24617.622979911666
05091,61856.0376171875
05093,580315.0092516447
05095,347810.0713778409
05097,10291.776216643197
05099,11655.451688440835
05101,9051.98664261123
05103,1655.6313330925118
05105,31816.858574083115
05107,449268.1758522727
05109,16628.78778991699
05111,505969.2652777778
05113,22383.721683814878
05115,17112.014741412662
05117,358977.98473011365
05119,53347.94305241108
05121,155180.19984266494
05123,417660.2764423077
05125,10656.392433961233
05127,15457.08718477885
05129,28257.003815544977
05131,36435.10505192454
05133,24730.141546075993
05135,28230.597133091516
05137,19442.12213532821
05139,1366.8254683289347
05141,11725.650782993862
05143,53108.30867882931
05145,78941.81214488637
05147,345327.38364361704
05149,12425.75708694458
06001,28830.024978336725
06003,8891.510134367158
06005,17900.836203601946
06007,247417.48422606266
06009,8258.461342137654
06011,363003.52280227124
06013,82577.44797072455
06015,9461.269460310701
06017,8065.966963721403
06019,179768.123458202
06021,305038.3707863944
06023,5451.19437572723
06025,123107.32529152946
06027,4992.340874722145
06029,92397.68282320951
06031,437932.75281366025
06033,21207.431725102226
06035,35717.76387881382
06037,21264.322872424913
06039,170843.577515062
06041,25492.14277961694
06043,3951.6701992424164
06045,13761.393014527166
06047,251435.7267076734
06049,39484.02872404542
06051,13965.771684346893
06053,96238.81033140555
06055,85883.45783424377
06057,17047.686572049115
06059,24136.559857420634
06061,69413.10695782554
06063,14334.557395304322
06065,43864.130552292656
06067,264740.4601691751
06069,56512.0832454797
06071,3870.6008490856643
06073,22316.356973361206
06075,2006.72892014152
06077,286314.0503611845
06079,64934.04366640919
06081,12810.619703278211
06083,45261.695971088244
06085,49527.13734747678
06087,35783.89805708333
06089,20131.696852282043
06091,12021.231355246375
06093,34063.04193787858
06095,199250.1769035918
06097,88878.22584816758
06099,131585.19202749856
06101,665552.016456117
06103,33885.32935950472
06105,2913.7888070358554
06107,145208.27085085268
06109,2896.7824200865643
06111,65566.51483699358
06113,407029.9405134746
06115,226461.93502838668
08001,154645.74764195885
08003,67908.16716051969
08005,79105.24587550308
08007,7101.721741405287
08009,134887.953739554
08011,17802.12012263241
08013,15010.60310628397
08014,107505.548828125
08015,12477.888334826419
08017,142926.57835354275
08019,64.01007901468584
08021,22366.54799752948
08023,19844.753372389696
08025,11067.21943359375
08027,17148.876974105835
08029,47602.257950959385
08031,30564.076718648274
08033,9578.399365127087
08035,2221.658711554512
08037,6611.173325380941
08039,16184.398582816124
08041,3073.8929642585017
08043,4127.492764962458
08045,7188.991349447758
08047,181.8364504300631
08049,9195.539162842117
08051,6666.072003502271
08053,1429.9632306420244
08055,4357.639270866126
08057,18629.946695686405
08059,2804.0943774860734
08061,127205.36109222412
08063,281425.08489583334
08065,12115.131821731042
08067,9904.870472831386
08069,7835.877770549274
08071,2074.911404492665
08073,55176.5305380794
08075,150076.66423011193
08077,7667.401271021349
08079,620.1531579531156
08081,3345.376227511551
08083,12931.439752835893
08085,13498.930458766963
08087,139099.57946268716
08089,28423.760326104417
08091,12738.076517569052
08093,3899.9171769336126
08095,433702.5403645833
08097,9332.639127376364
08099,137477.87500417334
08101,3982.7603990227512
08103,5310.768380148515
08105,52022.353485041654
08107,6207.166570232077
08109,31680.644383490246
08111,215.82244048946262
08113,4084.297238057203
08115,328869.995703125
08117,3545.7940505271736
08119,1638.0628059788753
08121,186485.2978877315
08123,96999.14098379348
08125,264267.0436947293
09001,1151.6831406397619
09003,3895.2508393027565
09005,2747.995003440163
09007,2225.7777061462402
09009,1507.1592672729778
09011,2288.3819147595987
09013,6540.86567179362
09015,4080.560871548123
10001,156896.6217115517
10003,122612.29489474827
10005,138272.46318614038
11001,733.261351449149
12001,75833.0187953404
12003,9718.92716707502
12005,5053.93828688503
12007,51087.933468905365
12009,37287.76450208218
12011,5099.809466648102
12013,100836.3309956086
12015,72079.23620506223
12017,56076.39548858943
12019,15960.080191678779
12021,20047.10246443239
12023,66658.09660921963
12027,163613.58165922618
12029,24848.122884759803
12031,4320.595391626434
12033,47788.37557539788
12035,22307.35876379013
12037,187.3685765879386
12039,105287.30361135383
12041,187929.5190625
12043,159752.35424531228
12045,2882.612927939197
12047,74473.50121575432
12049,142852.50623139882
12051,313537.59913244913
12053,79866.00227443723
12055,196746.6257776331
12057,76628.89748435449
12059,52568.88081054688
12061,84378.08276943113
12063,144296.3305864726
12065,42787.895856051975
12067,53885.7422368471
12069,89956.20198978286
12071,28956.18726866481
12073,11977.148061367181
12075,94764.98827288322
12077,4265.873202001227
12079,99627.65218482827
12081,105098.31224263854
12083,91395.8199602656
12085,130985.8658006543
12086,6014.832162585178
12087,127.4825328433992
12089,7838.1086096670115
12091,20835.415455322982
12093,112983.68030028514
12095,58102.02695240694
12097,120730.34525068091
12099,466676.30227970687
12101,73352.49322159939
12103,3504.456156740083
12105,115858.5085631909
12107,28080.88713899206
12109,10017.982303443965
12111,120139.76567275607
12113,64689.14540253106
12115,43726.814906872176
12117,16832.55779296875
12119,124915.2838570731
12121,168149.8701923077
12123,9665.80118619757
12125,79912.00172424316
12127,13748.529096515724
12129,6136.810804464402
12131,28788.101378665775
12133,34904.33000780189
13001,104430.83713378906
13003,79868.94329568614
13005,72124.26978600543
13007,279115.60379464284
13009,6305.224868774414
13011,20514.450520833332
13013,37155.374822443184
13015,25384.298469543457
13017,118188.52235243056
13019,159229.72797309028
13021,12760.256188964844
13023,104418.96459960938
13025,5894.398483565359
13027,180468.89565805288
13029,5587.378360152245
13031,128525.46577962239
13033,96775.25511453919
13035,17157.606414794922
13037,216452.95345052084
13039,425.2831667107239
13043,95637.07236842105
13045,27499.955126953126
13047,26314.170372596152
13049,1166.2986895976867
13051,2009.263112146552
13053,3266.234085083008
13055,19469.68232421875
13057,9432.68422154018
13059,15262.4943359375
13061,104948.12573242188
13063,4181.340721978082
13065,1822.9708007995425
13067,1962.904505411784
13069,136729.0509672619
13071,212116.10831925675
13073,3141.3194155485735
13075,212470.48828125
13077,18688.55384482107
13079,15891.2134375
13081,254491.30546875
13083,17708.154522235578
13085,7255.450134277344
13087,230729.91575520832
13089,1656.9607168833415
13091,70988.52174831081
13093,266018.9622395833
13095,51085.754432091344
13097,8807.395010811942
13099,204182.763671875
13101,8589.689212441444
13103,14454.928079044117
13105,22088.15837492766
13107,53889.483159279334
13109,71749.93308803013
13111,2539.236322791488
13113,13423.661934988839
13115,21176.27239668997
13117,26293.603118896484
13119,34010.31044921875
13121,5836.512890464382
13123,3473.311197280884
13125,19580.15009765625
13127,913.0118811476991
13129,39990.73498535156
13131,121853.12371271307
13133,10744.630872453961
13135,6896.875291951497
13137,15891.030479029605
13139,16007.644682042739
13141,6159.410201217189
13143,10089.137828480114
13145,6690.766709495993
13147,36407.92827690972
13149,14985.056448800224
13151,19169.90031632133
13153,69414.52077720905
13155,232396.94444444444
13157,31722.909912109375
13159,12492.250368315597
13161,105477.1103515625
13163,98333.0087890625
13165,121526.22296875
13167,41124.19340587797
13169,3932.4323657000505
13171,34458.066228693184
13173,57097.34624176026
13175,34897.116290983606
13177,135119.0809375
13179,746.3923763752623
13181,7233.556667751736
13183,6331.3172642844065
13185,45174.95583147321
13187,5263.135990333557
13189,12338.298805236816
13191,301.0603084849316
13193,99524.81377963362
13195,36028.403631036934
13197,16660.434149380388
13199,17575.939527107006
13201,394565.25575657893
13205,297555.8456503378
13207,12454.43561717442
13209,46846.03493923611
13211,41663.61195591518
13213,19117.287364130436
13215,4845.437316894531
13217,18588.512749565973
13219,29106.35107421875
13221,15471.712748718262
13223,13120.726647010217
13225,97384.26491477272
13227,8602.402497791109
13229,84733.103069803
13231,33234.933134191175
13233,20323.223378057064
13235,152108.15372242648
13237,14505.07741873605
13239,7298.316622647372
13241,3671.0667857023386
13243,126787.97297014509
13245,12216.793906471947
13247,9198.431396484375
13249,20224.131747159092
13251,96952.10376474808
13253,372823.8786621094
13255,32267.118722098214
13257,12925.454176682691
13259,15434.608595929827
13261,147060.59274839744
13263,6420.005998738607
13265,8629.182194010416
13267,67765.36259191176
13269,21856.43378155048
13271,50231.006774902344
13273,167086.19495738635
13275,130936.56879882813
13277,221124.01069078947
13279,67363.30594308036
13281,5556.634748776753
13283,35877.616736778844
13285,17196.019561767578
13287,203085.90696022726
13289,12902.690861628605
13291,7535.321825780496
13293,11700.419234566067
13295,22766.51097728588
13297,22397.176885190216
13299,13812.744654372576
13301,20671.348761307567
13303,25390.351452885843
13305,27466.633887002634
13307,79690.4208984375
13309,38251.71428571428
13311,11484.381933516408
13313,20927.57100053267
13315,169460.68402777778
13317,13530.736195591518
13319,4332.5441923702465
13321,222658.58157703487
15001,13363.63067081405
15003,6811.729054573255
15005,21.939654032389324
15007,9991.522672125633
15009,71059.39441900949
16001,35220.400077423496
16003,17782.396234414013
16005,48167.163595150676
16007,21748.86187941143
16009,60049.221631473476
16011,172962.74691843198
16013,10410.134281498487
16015,3389.721151726535
16017,3561.379984956297
16019,86391.37546984569
16021,19094.4361204812
16023,17339.895028721498
16025,18186.966959887082
16027,225834.36142113095
16029,59521.306225887565
16031,112242.26405599166
16033,34828.44929167628
16035,6516.384790966317
16037,10516.088287385575
16039,20039.400288428562
16041,64644.56517198351
16043,77512.4280046068
16045,38669.0369554564
16047,59042.85873163397
16049,14551.488292543958
16051,237666.01241519
16053,191536.31418282646
16055,25433.40550495111
16057,186725.12212423765
16059,13257.409712208359
16061,223354.1318023345
16063,41352.46817406526
16065,309052.98227826285
16067,316132.12067105575
16069,202362.87746359408
16071,51704.46921897229
16073,9429.99894030317
16075,78230.20238780975
16077,120620.82233709171
16079,62.29508074478329
16081,108992.7990691132
16083,76457.2351256446
16085,11350.470489589417
16087,22559.744554519653
17001,383334.5131048387
17003,194588.3417080966
17005,466369.47
17007,474968.6736111111
17009,277333.34801136365
17011,634563.16796875
17013,166542.47805059524
17015,558720.3946572581
17017,429157.8873697917
17019,628891.1236607142
17021,633465.6225961539
17023,369518.0710227273
17025,355009.3580357143
17027,486039.98671875
17029,512240.99358974356
17031,11256.086946577607
17033,435930.8235887097
17035,425388.6225
17037,685026.6960227273
17039,759124.8529411765
17041,599170.7022058824
17043,17961.715747539813
17045,557402.8756510416
17047,365823.6328125
17049,384826.24724264705
17051,369992.0688100961
17053,648129.0765625
17055,209455.69168526787
17057,332179.7310096154
17059,470416.9129464286
17061,516285.249599359
17063,473019.8097098214
17065,332802.409765625
17067,378071.369612069
17069,77276.21875
17071,455598.5
17073,603781.8108552631
17075,614430.734375
17077,219605.2117084704
17079,415850.1229166667
17081,199091.16648065476
17083,360074.583125
17085,280753.55983231706
17087,81087.06924715909
17089,355653.71625434025
17091,460999.93055555556
17093,527311.21328125
17095,566133.2766203703
17097,36764.02027355825
17099,503023.2910391566
17101,449760.49074074073
17103,572446.1312677556
17105,680171.2125
17107,695505.9303977273
17109,430836.4293154762
17111,353413.69084821426
17113,638114.5474837662
17115,555630.6505984042
17117,406075.0682291667
17119,348845.5726102941
17121,259466.03453947368
17123,534138.9048295454
17125,469506.1310096154
17127,242433.00542534722
17129,509097.5475
17131,510074.17067307694
17133,315107.3776939655
17135,546314.199074074
17137,512393.12638888886
17139,571409.9744318182
17141,637426.4172453703
17143,363594.70439680235
17145,260480.91650390625
17147,779957.5817307692
17149,372622.75050403224
17151,33340.32753208705
17153,238036.56770833334
17155,454610.3255208333
17157,285124.8884943182
17159,516823.43303571426
17161,359933.2241071428
17163,303805.1454264323
17165,223735.58053385417
17167,505771.6920673077
17169,341418.428125
17171,448683.96180555556
17173,559599.5380681818
17175,717929.4867788461
17177,556938.0163690476
17179,502862.0211103723
17181,116899.5022898707
17183,593961.9292534722
17185,445782.49080882355
17187,658588.658203125
17189,532771.8099662162
17191,386200.63727678574
17193,518476.86856617645
17195,625564.1231971154
17197,291985.94332735654
17199,123311.47935655381
17201,321475.0819784628
17203,588756.6842105263
18001,509403.6171875
18003,348698.7394448138
18005,336289.8411458333
18007,716290.4625
18009,499742.55555555556
18011,576488.0375
18013,21799.956502278645
18015,528260.2824519231
18017,483858.298828125
18019,156104.49189814815
18021,342563.2922453704
18023,662075.114224138
18025,24966.59334663723
18027,376975.84418402775
18029,71329.99587180397
18031,527122.4325
18033,375230.14
18035,412734.62604166666
18037,252938.25816127233
18039,240440.10677083334
18041,341344.5255681818
18043,89703.46486957256
18045,438431.1430288461
18047,251261.02650669642
18049,475238.815
18051,456615.0625
18053,513720.68375
18055,187321.89326171874
18057,248377.07357421875
18059,485427.9347826087
18061,119234.9189453125
18063,431072.9386574074
18065,434806.28229166666
18067,518989.896875
18069,434065.16041666665
18071,234538.9126504434
18073,514326.3597383721
18075,537297.5697115385
18077,134882.84400475543
18079,206779.8533266129
18081,238905.87459309897
18083,472688.9142857143
18085,403445.7836538461
18087,233838.70364583333
18089,214378.76096504583
18091,361442.74384765624
18093,88511.4572360131
18095,460191.1724537037
18097,75775.97853088379
18099,376920.65208333335
18101,88320.95861816406
18103,438593.08449074073
18105,45737.01081795528
18107,444651.86532738095
18109,216817.3978587963
18111,537161.36125
18113,317781.66852678574
18115,71185.45963541667
18117,181658.35412176725
18119,90623.03703962054
18121,281620.12109375
18123,65162.224703881046
18125,283949.21259416855
18127,230170.70470757963
18129,443382.97580645164
18131,505795.78854166664
18133,344816.23540039064
18135,450126.615625
18137,221903.2050189394
18139,553511.9241071428
18141,350944.07516891893
18143,132953.37890625
18145,533343.9491071429
18147,293226.48361895164
18149,332409.03875
18151,267629.60625
18153,366727.4342672414
18155,67444.36443014706
18157,457780.9181547619
18159,614892.053125
18161,459966.01785714284
18163,325250.0963541667
18165,351315.25390625
18167,301480.689140625
18169,491367.89397321426
18171,511457.31875
18173,233364.11061197918
18175,165992.38039981617
18177,385378.47222222225
18179,587609.3425925926
18181,610907.9495192308
18183,394551.4830729167
19001,504465.6599702381
19003,419283.7625
19005,266749.38142903644
19007,171653.66453887196
19009,669922.2159090909
19011,507813.361328125
19013,542844.5892857143
19015,456453.25446428574
19017,586553.2885416667
19019,565998.1904761905
19021,643140.3176020408
19023,699259.2423469388
19025,663716.0260416666
19027,627705.4151785715
19029,524971.7269345238
19031,666208.056547619
19033,564406.3489583334
19035,740080.0818452381
19037,527951.1744791666
19039,211836.1109375
19041,600536.1320153062
19043,396168.94001116074
19045,587322.928125
19047,532668.5331632653
19049,548530.7485119047
19051,170805.37391493056
19053,176863.94259982638
19055,611036.0178571428
19057,351550.96533203125
19059,482220.1026785714
19061,367383.9518229167
19063,577156.02734375
19065,513630.5865885417
19067,607151.9925595238
19069,645848.46875
19071,469288.6021959459
19073,509735.1941964286
19075,704804.78125
19077,445933.68601190473
19079,663021.4444444445
19081,636355.1741071428
19083,572426.3229166666
19085,569786.73875
19087,310070.89229910716
19089,613829.83125
19091,740621.6520833333
19093,727803.2994791666
19095,447290.9813988095
19097,268763.7705269608
19099,536863.4213169643
19101,329226.6192708333
19103,376276.82083333336
19105,462073.69444444444
19107,394825.21800595237
19109,777265.6448863636
19111,245120.3236607143
19113,365419.84456380206
19115,403205.7333984375
19117,183678.11979166666
19119,613183.8854518582
19121,314074.8511904762
19123,494604.36734693876
19125,295887.74144345237
19127,484074.2113095238
19129,547792.6336206896
19131,745952.9357142857
19133,456392.6653409091
19135,191057.38950892858
19137,475844.6666666667
19139,492465.97564338235
19141,798629.4404761905
19143,749369.5729166666
19145,418927.60590277775
19147,627368.2477678572
19149,601878.79931640625
19151,664248.3779761905
19153,334204.26227678574
19155,578930.7336956522
19157,633152.5260416666
19159,214504.28831845237
19161,637171.9375
19163,482522.7296875
19165,654941.0944940476
19167,687641.3162715518
19169,529387.0189732143
19171,516763.0846354167
19173,354931.6858108108
19175,298896.01614583336
19177,200957.17849392362
19179,272868.502734375
19181,300456.03199404763
19183,502120.4862804878
19185,208526.50422297296
19187,614996.1320754717
19189,585906.66015625
19191,404651.8141276042
19193,533075.9822198276
19195,551118.7513020834
19197,636342.21875
20001,230086.6390625
20003,159971.37952302632
20005,315886.60700757575
20007,69839.34979742927
20009,288019.3278521369
20011,84052.4127869898
20013,568831.1324404762
20015,94331.61548868816
20017,33050.78573811849
20019,19096.528279622395
20021,242338.62220982142
20023,239601.87771267362
20025,50787.578305331146
20027,365428.5546875
20029,330001.54846938775
20031,139419.14770507812
20033,45943.28548758371
20035,103841.10704956055
20037,159059.8068033854
20039,240863.66964285713
20041,266980.1929804105
20043,528404.9095982143
20045,149827.97301136365
20047,418437.47798295453
20049,28278.67091369629
20051,115686.90404885913
20053,132774.4052734375
20055,347632.82207414217
20057,260718.80955882353
20059,191457.42643229166
20061,80546.58984375
20063,176882.06949266975
20065,165163.8359375
20067,280881.61517857143
20069,425600.38125
20071,231949.4111689815
20073,23472.43510945638
20075,116376.64161424513
20077,166387.3055840164
20079,463542.55803571426
20081,525999.2529761905
20083,140254.66573660713
20085,158210.7763671875
20087,223214.86796875
20089,314427.71039496525
20091,53761.23563878676
20093,220799.7812677557
20095,171705.89180307538
20097,159711.14666374362
20099,185108.17578125
20101,172343.23488136573
20103,126074.65464154411
20105,151193.7947624362
20107,97121.44786005435
20109,138964.9198374807
20111,88416.66350911459
20113,319934.54935515876
20115,243753.28396267362
20117,343006.1109871032
20119,233004.79982972756
20121,121576.46516927083
20123,345960.1956313776
20125,117722.08642578125
20127,102064.3662484976
20129,132477.04388427734
20131,321764.50289351854
20133,155226.57053571427
20135,124935.80799696181
20137,224908.55403645834
20139,140358.7115162037
20141,199223.77459716797
20143,185761.57836415817
20145,320976.8017578125
20147,199422.64136904763
20149,88418.00052138507
20151,373116.61481584824
20153,245630.5882523148
20155,210903.08038194446
20157,439151.58832908166
20159,324592.21851084183
20161,104952.72518849927
20163,172274.1513671875
20165,179293.15349264705
20167,112126.98399522569
20169,206963.60837850766
20171,317936.49377893517
20173,263766.2722167969
20175,305737.6806640625
20177,144664.45445884147
20179,306185.9465332031
20181,353984.3457573785
20183,295395.375
20185,372676.26384320174
20187,304862.868622449
20189,350544.7628348214
20191,268759.399609375
20193,392846.0822753906
20195,126111.28831845238
20197,65051.08200461648
20199,164556.25668480282
20201,363407.23871527775
20203,343160.52054398146
20205,158923.63876488095
20207,105221.77072482639
20209,60984.700150923294
21001,52170.1967268319
21003,72643.77873883929
21005,24476.617252604166
21007,292249.51953125
21009,108391.3450892857
21011,43225.78036842346
21013,3491.910265990666
21015,29636.54067095588
21017,74584.9517578125
21019,5644.058873494466
21021,54596.372859074516
21023,23811.414485677084
21025,1935.9645983832222
21027,87763.48595610118
21029,29158.629815964472
21031,82609.40784801137
21033,237215.7996826172
21035,188677.23931674298
21037,15575.763916015625
21039,289248.77566964284
21041,27046.254296875
21043,7599.384533297631
21045,45587.34200032552
21047,309466.603359375
21049,60972.23982319079
21051,4042.1960961818695
21053,44134.32962239583
21055,95662.54801432292
21057,17006.921655273436
21059,324115.3887867647
21061,49456.958939985794
21063,4082.743392944336
21065,12701.300232382382
21067,57014.6583984375
21069,48577.28412334736
21071,868.7060735566275
21073,27549.252994791666
21075,358575.3645833333
21077,41028.841796875
21079,46925.94580078125
21081,17944.1875
21083,281973.01013513515
21085,75204.88939732143
21087,71597.3287109375
21089,5971.07632001241
21091,101590.65549879808
21093,112369.59774502841
21095,1173.7049780469952
21097,52337.97817595109
21099,47479.89349168347
21101,392409.4580078125
21103,62183.50240285773
21105,451465.78720238095
21107,126859.08831935975
21109,15403.49959564209
21111,12431.434138857085
21113,46527.324544270836
21115,721.8720401582264
21117,15229.107954545454
21119,2725.240842183431
21121,9646.447699766893
21123,171473.5412109375
21125,33658.969549699264
21127,1129.6505953881049
21129,3604.5895874023436
21131,500.544620363943
21133,1112.1100793168657
21135,17370.223774677997
21137,70457.48623511905
21139,88077.658203125
21141,319227.1361328125
21143,72752.94855414497
21145,138195.9703125
21147,3343.666705391624
21149,398763.9861111111
21151,35467.22720614346
21153,2112.8830433721128
21155,92410.7653125
21157,93628.22260393415
21159,2763.6081739153183
21161,80563.46202256944
21163,131794.95649857956
